1	1	N3I	NSF	13442	Ὅρασις	ὁρασις	ορασις	ὅρασις	O/(rasij	o(rasij	orasij	o/(rasij	o(/rasij			,	O(/RASIS	O(/RASIS
14	1	N1T	NSM	9346	γιώρας	γιωρας	γιωρας	γειώρας	giw/raj	giwraj	giwraj	geiw/raj	geiw/raj				GIW/RAS	GEIW/RAS
14	1	VC	FPI3S	641153	προστεθήσεται	προστεθησεται	προστεθησεται	προστίθημι	prosteqh/setai	prosteqhsetai	prosteqhsetai	prosti/qhmi	prosti/qhmi				PROSTEQH/SETAI	TI/QHMI          PROS
14	1	P		8	πρὸς	προς	προς	πρός	pro\j	proj	proj	pro/j	pro/j				PRO\S	PRO/S
14	1	RD	APM	11	αὐτοὺς	αὐτους	αυτους	αὐτός	au)tou\j	au)touj	autouj	au)to/j	au)to/j				AU)TOU\S	AU)TO/S
14	1	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	1	VC	FPI3S	641153	προστεθήσεται	προστεθησεται	προστεθησεται	προστίθημι	prosteqh/setai	prosteqhsetai	prosteqhsetai	prosti/qhmi	prosti/qhmi				PROSTEQH/SETAI	TI/QHMI          PROS
14	1	P		8	πρὸς	προς	προς	πρός	pro\j	proj	proj	pro/j	pro/j				PRO\S	PRO/S
14	1	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
14	1	N2	ASM	9474	οἶκον	οἰκον	οικον	οἶκος	oi~)kon	oi)kon	oikon	oi~)koj	oi)=koj				OI)=KON	OI)=KOS
14	1	N	GSM	9538	Ιακωβ	ιακωβ	ιακωβ	Ἰακώβ	Iakwb	iakwb	iakwb	I)akw/b	I)akw/b			,	*IAKWB	*I)AKW/B
14	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	2	VF	FMI3P	899201	λήμψονται	λημψονται	λημψονται	λαμβάνω	lh/myontai	lhmyontai	lhmyontai	lamba/nw	lamba/nw				LH/MYONTAI	LAMBA/NW
14	2	RD	APM	11	αὐτοὺς	αὐτους	αυτους	αὐτός	au)tou\j	au)touj	autouj	au)to/j	au)to/j				AU)TOU\S	AU)TO/S
14	2	N3E	NPN	18050	ἔθνη	ἐθνη	εθνη	ἔθνος	e/)qnh	e)qnh	eqnh	e/)qnoj	e)/qnoj				E)/QNH	E)/QNOS
14	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	2	VF	FAI3P	895105	εἰσάξουσιν	εἰσαξουσιν	εισαξουσιν	εἰσάγω	ei)sa/cousin	ei)sacousin	eisacousin	ei)sa/gw	ei)sa/gw				EI)SA/COUSIN	A)/GW            EI)S
14	2	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
14	2	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
14	2	N2	ASM	9474	τόπον	τοπον	τοπον	τόπος	to/pon	topon	topon	to/poj	to/poj				TO/PON	TO/POS
14	2	RD	GPN	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)tw~n	au)twn	autwn	au)to/j	au)to/j			,	AU)TW=N	AU)TO/S
14	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	2	VF F	AI3P	264705	κατακληρονομήσουσιν	κατακληρονομησουσιν	κατακληρονομησουσιν	κατακληρονομέω	kataklhronomh/sousin	kataklhronomhsousin	kataklhronomhsousin	kataklhronome/w	kataklhronome/w				KATAKLHRONOMH/SOUSIN	KLHRONOME/W      KATA
14	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	2	VC	FPI3P	903297	πληθυνθήσονται	πληθυνθησονται	πληθυνθησονται	πληθύνω	plhqunqh/sontai	plhqunqhsontai	plhqunqhsontai	plhqu/nw	plhqu/nw				PLHQUNQH/SONTAI	PLHQU/NW
14	2	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi\	e)pi	epi	e)pi/	e)pi/				E)PI\	E)PI/
14	2	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
14	2	N1	GSF	13634	γῆς	γης	γης	γῆ	gh~j	ghj	ghj	gh~	gh=				GH=S	GH=
14	2	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
14	2	N2	GSM	9538	θεοῦ	θεου	θεου	θεός	qeou~	qeou	qeou	qeo/j	qeo/j				QEOU=	QEO/S
14	2	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
14	2	N2	APM	9986	δούλους	δουλους	δουλους	δοῦλος	dou/louj	doulouj	doulouj	dou~loj	dou=loj				DOU/LOUS	DOU=LOS
14	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	2	N1	APF	14082	δούλας	δουλας	δουλας	δούλη	dou/laj	doulaj	doulaj	dou/lh	dou/lh			·	DOU/LAS	DOU/LH
14	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	2	VF	FMI3P	899201	ἔσονται	ἐσονται	εσονται	εἰμί	e/)sontai	e)sontai	esontai	ei)mi/	ei)mi/				E)/SONTAI	EI)MI/
14	2	A1B	NPM	9859	αἰχμάλωτοι	αἰχμαλωτοι	αιχμαλωτοι	αἰχμάλωτος	ai)xma/lwtoi	ai)xmalwtoi	aixmalwtoi	ai)xma/lwtoj	ai)xma/lwtoj				AI)XMA/LWTOI	AI)XMA/LWTOS
14	2	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
14	2	VA	AAPNPM	5057473	αἰχμαλωτεύσαντες	αἰχμαλωτευσαντες	αιχμαλωτευσαντες	αἰχμαλωτεύω	ai)xmalwteu/santej	ai)xmalwteusantej	aixmalwteusantej	ai)xmalwteu/w	ai)xmalwteu/w				AI)XMALWTEU/SANTES	AI)XMALWTEU/W
14	2	RD	APM	11	αὐτούς	αὐτους	αυτους	αὐτός	au)tou/j	au)touj	autouj	au)to/j	au)to/j			,	AU)TOU/S	AU)TO/S
14	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	2	VC	FPI3P	903297	κυριευθήσονται	κυριευθησονται	κυριευθησονται	κυριεύω	kurieuqh/sontai	kurieuqhsontai	kurieuqhsontai	kurieu/w	kurieu/w				KURIEUQH/SONTAI	KURIEU/W
14	2	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
14	2	VA	AAPNPM	5057473	κυριεύσαντες	κυριευσαντες	κυριευσαντες	κυριεύω	kurieu/santej	kurieusantej	kurieusantej	kurieu/w	kurieu/w				KURIEU/SANTES	KURIEU/W
14	2	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)tw~n	au)twn	autwn	au)to/j	au)to/j			.	AU)TW=N	AU)TO/S
14	3	C		4	Καὶ	και	και	καί	Kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	3	VF	FMI3S	637057	ἔσται	ἐσται	εσται	εἰμί	e/)stai	e)stai	estai	ei)mi/	ei)mi/				E)/STAI	EI)MI/
14	3	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
14	3	RA	DSF	10	τῇ	τη	τη	ὁ	th~|	th	th	o(	o(				TH=|	O(
14	3	N1A	DSF	13698	ἡμέρᾳ	ἡμερα	ημερα	ἡμέρα	h(me/ra|	h(mera	hmera	h(me/ra	h(me/ra				H(ME/RA|	H(ME/RA
14	3	RD	DSF	11	ἐκείνῃ	ἐκεινη	εκεινη	ἐκεῖνος	e)kei/nh|	e)keinh	ekeinh	e)kei~noj	e)kei=noj				E)KEI/NH|	E)KEI=NOS
14	3	N3I	DSF	13698	ἀναπαύσει	ἀναπαυσει	αναπαυσει	ἀνάπαυσις	a)napau/sei	a)napausei	anapausei	a)na/pausij	a)na/pausij				A)NAPAU/SEI	A)NA/PAUSIS
14	3	RP	AS	13	σε	σε	σε	σέ	se	se	se	se/	se/				SE	SU/
14	3	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
14	3	N2	NSM	9346	θεὸς	θεος	θεος	θεός	qeo\j	qeoj	qeoj	qeo/j	qeo/j				QEO\S	QEO/S
14	3	P		8	ἐκ	ἐκ	εκ	ἐκ	e)k	e)k	ek	e)k	e)k				E)K	E)K
14	3	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
14	3	N1	GSF	13634	ὀδύνης	ὀδυνης	οδυνης	ὀδύνη	o)du/nhj	o)dunhj	odunhj	o)du/nh	o)du/nh				O)DU/NHS	O)DU/NH
14	3	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	3	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
14	3	N2	GSM	9538	θυμοῦ	θυμου	θυμου	θυμός	qumou~	qumou	qumou	qumo/j	qumo/j				QUMOU=	QUMO/S
14	3	RP	GS	13	σου	σου	σου	σοῦ	sou	sou	sou	sou~	sou=				SOU	SU/
14	3	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	3	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
14	3	N1A	GSF	13634	δουλείας	δουλειας	δουλειας	δουλεία	doulei/aj	douleiaj	douleiaj	doulei/a	doulei/a				DOULEI/AS	DOULEI/A
14	3	RP	GS	13	σου	σου	σου	σοῦ	sou	sou	sou	sou~	sou=				SOU	SU/
14	3	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
14	3	A1A	GSF	13635	σκληρᾶς	σκληρας	σκληρας	σκληρός	sklhra~j	sklhraj	sklhraj	sklhro/j	sklhro/j			,	SKLHRA=S	SKLHRO/S
14	3	RR	GSF	14	ἧς	ἡς	ης	ὅς	h~(j	h(j	hj	o/(j	o(/j				H(=S	O(/S
14	3	VAI	AAI2S	633473	ἐδούλευσας	ἐδουλευσας	εδουλευσας	δουλεύω	e)dou/leusaj	e)douleusaj	edouleusaj	douleu/w	douleu/w				E)DOU/LEUSAS	DOULEU/W
14	3	RD	DPM	11	αὐτοῖς	αὐτοις	αυτοις	αὐτός	au)toi~j	au)toij	autoij	au)to/j	au)to/j			.	AU)TOI=S	AU)TO/S
14	4	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	4	VF	FMI2S	637057	λήμψῃ	λημψη	λημψη	λαμβάνω	lh/myh|	lhmyh	lhmyh	lamba/nw	lamba/nw				LH/MYH|	LAMBA/NW
14	4	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
14	4	N2	ASM	9474	θρῆνον	θρηνον	θρηνον	θρῆνος	qrh~non	qrhnon	qrhnon	qrh~noj	qrh=noj				QRH=NON	QRH=NOS
14	4	RD	ASM	11	τοῦτον	τουτον	τουτον	οὗτος	tou~ton	touton	touton	ou~(toj	ou(=toj				TOU=TON	OU(=TOS
14	4	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi\	e)pi	epi	e)pi/	e)pi/				E)PI\	E)PI/
14	4	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
14	4	N3V	ASM	9474	βασιλέα	βασιλεα	βασιλεα	βασιλεύς	basile/a	basilea	basilea	basileu/j	basileu/j				BASILE/A	BASILEU/S
14	4	N3W	GSF	13634	Βαβυλῶνος	βαβυλωνος	βαβυλωνος	Βαβυλών	Babulw~noj	babulwnoj	babulwnoj	Babulw/n	Babulw/n				*BABULW=NOS	*BABULW/N
14	4	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	4	VF2	FAI2S	632961	ἐρεῖς	ἐρεις	ερεις	ἐρέω	e)rei~j	e)reij	ereij	e)re/w	e)re/w				E)REI=S	EI)=PON
14	4	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
14	4	RA	DSF	10	τῇ	τη	τη	ὁ	th~|	th	th	o(	o(				TH=|	O(
14	4	N1A	DSF	13698	ἡμέρᾳ	ἡμερα	ημερα	ἡμέρα	h(me/ra|	h(mera	hmera	h(me/ra	h(me/ra				H(ME/RA|	H(ME/RA
14	4	RD	DSF	11	ἐκείνῃ	ἐκεινη	εκεινη	ἐκεῖνος	e)kei/nh|	e)keinh	ekeinh	e)kei~noj	e)kei=noj				E)KEI/NH|	E)KEI=NOS
14	4	D		9	Πῶς	πως	πως	πῶς	Pw~j	pwj	pwj	pw~j	pw=j				PW=S	PW=S
14	4	VM	XMI3S	638081	ἀναπέπαυται	ἀναπεπαυται	αναπεπαυται	ἀναπαύω	a)nape/pautai	a)napepautai	anapepautai	a)napau/w	a)napau/w				A)NAPE/PAUTAI	PAU/W            A)NA
14	4	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
14	4	V2	PAPNSM	4793793	ἀπαιτῶν	ἀπαιτων	απαιτων	ἀπαιτέω	a)paitw~n	a)paitwn	apaitwn	a)paite/w	a)paite/w				A)PAITW=N	AI)TE/W          A)PO
14	4	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	4	VM	XMI3S	638081	ἀναπέπαυται	ἀναπεπαυται	αναπεπαυται	ἀναπαύω	a)nape/pautai	a)napepautai	anapepautai	a)napau/w	a)napau/w				A)NAPE/PAUTAI	PAU/W            A)NA
14	4	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
14	4	N1M	NSM	9346	ἐπισπουδαστής	ἐπισπουδαστης	επισπουδαστης	ἐπισπουδαστής	e)pispoudasth/j	e)pispoudasthj	epispoudasthj	e)pispoudasth/j	e)pispoudasth/j			;	E)PISPOUDASTH/S	E)PISPOUDASTH/S
14	5	VAI	AAI3S	633473	συνέτριψεν	συνετριψεν	συνετριψεν	συντρίβω	sune/triyen	sunetriyen	sunetriyen	suntri/bw	suntri/bw				SUNE/TRIYEN	TRI/BW           SUN
14	5	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
14	5	N2	NSM	9346	θεὸς	θεος	θεος	θεός	qeo\j	qeoj	qeoj	qeo/j	qeo/j				QEO\S	QEO/S
14	5	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
14	5	N2	ASM	9474	ζυγὸν	ζυγον	ζυγον	ζυγός	zugo\n	zugon	zugon	zugo/j	zugo/j				ZUGO\N	ZUGO/S
14	5	RA	GPM	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(	o(				TW=N	O(
14	5	A1B	GPM	10051	ἁμαρτωλῶν	ἁμαρτωλων	αμαρτωλων	ἁμαρτωλός	a(martwlw~n	a(martwlwn	amartwlwn	a(martwlo/j	a(martwlo/j			,	A(MARTWLW=N	A(MARTWLO/S
14	5	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
14	5	N2	ASM	9474	ζυγὸν	ζυγον	ζυγον	ζυγός	zugo\n	zugon	zugon	zugo/j	zugo/j				ZUGO\N	ZUGO/S
14	5	RA	GPM	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(	o(				TW=N	O(
14	5	N3	GPM	10050	ἀρχόντων	ἀρχοντων	αρχοντων	ἄρχων	a)rxo/ntwn	a)rxontwn	arxontwn	a/)rxwn	a)/rxwn			·	A)RXO/NTWN	A)/RXWN
14	6	VA	AAPNSM	4795329	πατάξας	παταξας	παταξας	πατάσσω	pata/caj	patacaj	patacaj	pata/ssw	pata/ssw				PATA/CAS	PATA/SSW
14	6	N3E	ASN	17666	ἔθνος	ἐθνος	εθνος	ἔθνος	e/)qnoj	e)qnoj	eqnoj	e/)qnoj	e)/qnoj				E)/QNOS	E)/QNOS
14	6	N2	DSM	9602	θυμῷ	θυμω	θυμω	θυμός	qumw~|	qumw	qumw	qumo/j	qumo/j				QUMW=|	QUMO/S
14	6	N1	DSF	13698	πληγῇ	πληγη	πληγη	πληγή	plhgh~|	plhgh	plhgh	plhgh/	plhgh/				PLHGH=|	PLHGH/
14	6	A1B	DSF	13699	ἀνιάτῳ	ἀνιατω	ανιατω	ἀνίατος	a)nia/tw|	a)niatw	aniatw	a)ni/atoj	a)ni/atoj			,	A)NIA/TW|	A)NI/ATOS
14	6	V1	PAPNSM	4793793	παίων	παιων	παιων	παίω	pai/wn	paiwn	paiwn	pai/w	pai/w				PAI/WN	PAI/W
14	6	N3E	ASN	17666	ἔθνος	ἐθνος	εθνος	ἔθνος	e/)qnoj	e)qnoj	eqnoj	e/)qnoj	e)/qnoj				E)/QNOS	E)/QNOS
14	6	N1	ASF	13570	πληγὴν	πληγην	πληγην	πληγή	plhgh\n	plhghn	plhghn	plhgh/	plhgh/				PLHGH\N	PLHGH/
14	6	N2	GSM	9538	θυμοῦ	θυμου	θυμου	θυμός	qumou~	qumou	qumou	qumo/j	qumo/j			,	QUMOU=	QUMO/S
14	6	RR	NSF	14	ἣ	ἡ	η	ὅς	h\(	h(	h	o/(j	o(/j				H(\	O(/S
14	6	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
14	6	VSI	AMI3S	637569	ἐφείσατο	ἐφεισατο	εφεισατο	φείδομαι	e)fei/sato	e)feisato	efeisato	fei/domai	fei/domai			,	E)FEI/SATO	FEI/DOMAI
14	7	VAI	AMI3S	637569	ἀνεπαύσατο	ἀνεπαυσατο	ανεπαυσατο	ἀναπαύω	a)nepau/sato	a)nepausato	anepausato	a)napau/w	a)napau/w				A)NEPAU/SATO	PAU/W            A)NA
14	7	VX	XAPNSM	4795841	πεποιθώς	πεποιθως	πεποιθως	πείθω	pepoiqw/j	pepoiqwj	pepoiqwj	pei/qw	pei/qw			.	PEPOIQW/S	PEI/QW
14	7	A1S	NSF	13443	πᾶσα	πασα	πασα	πᾶς	pa~sa	pasa	pasa	pa~j	pa=j				PA=SA	PA=S
14	7	RA	NSF	10	ἡ	ἡ	η	ὁ	h(	h(	h	o(	o(				H(	O(
14	7	N1	NSF	13442	γῆ	γη	γη	γῆ	gh~	gh	gh	gh~	gh=				GH=	GH=
14	7	V3	PAI3S	631937	βοᾷ	βοα	βοα	βοάω	boa~|	boa	boa	boa/w	boa/w				BOA=|	BOA/W
14	7	P		8	μετ	μετ	μετ	μετά	met	met	met	meta/	meta/				MET'	META/
14	7	N1	GSF	13634	εὐφροσύνης	εὐφροσυνης	ευφροσυνης	εὐφροσύνη	eu)frosu/nhj	eu)frosunhj	eufrosunhj	eu)frosu/nh	eu)frosu/nh			,	EU)FROSU/NHS	EU)FROSU/NH
14	8	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	8	RA	NPN	10	τὰ	τα	τα	ὁ	ta\	ta	ta	o(	o(				TA\	O(
14	8	N2N	NPN	18050	ξύλα	ξυλα	ξυλα	ξύλον	cu/la	cula	cula	cu/lon	cu/lon				CU/LA	CU/LON
14	8	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
14	8	N2	GSM	9538	Λιβάνου	λιβανου	λιβανου	Λίβανος	Liba/nou	libanou	libanou	Li/banoj	Li/banoj				*LIBA/NOU	*LI/BANOS
14	8	VC	API3P	903809	εὐφράνθησαν	εὐφρανθησαν	ευφρανθησαν	εὐφραίνω	eu)fra/nqhsan	eu)franqhsan	eufranqhsan	eu)frai/nw	eu)frai/nw				EU)FRA/NQHSAN	EU)FRAI/NW
14	8	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi\	e)pi	epi	e)pi/	e)pi/				E)PI\	E)PI/
14	8	RP	DS	13	σοὶ	σοι	σοι	σοί	soi\	soi	soi	soi/	soi/				SOI\	SU/
14	8	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	8	RA	NSF	10	ἡ	ἡ	η	ὁ	h(	h(	h	o(	o(				H(	O(
14	8	N2	NSF	13442	κέδρος	κεδρος	κεδρος	κέδρος	ke/droj	kedroj	kedroj	ke/droj	ke/droj				KE/DROS	KE/DROS
14	8	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
14	8	N2	GSM	9538	Λιβάνου	λιβανου	λιβανου	Λίβανος	Liba/nou	libanou	libanou	Li/banoj	Li/banoj				*LIBA/NOU	*LI/BANOS
14	8	P		8	Ἀφ	ἀφ	αφ	ἀπό	A)f	a)f	af	a)po/	a)po/				A)F'	A)PO/
14	8	RR	GSM	14	οὗ	οὑ	ου	ὅς	ou~(	ou(	ou	o/(j	o(/j				OU(=	O(/S
14	8	RP	NS	13	σὺ	συ	συ	σύ	su\	su	su	su/	su/				SU\	SU/
14	8	VM	XMI2S	638081	κεκοίμησαι	κεκοιμησαι	κεκοιμησαι	κοιμάω	kekoi/mhsai	kekoimhsai	kekoimhsai	koima/w	koima/w			,	KEKOI/MHSAI	KOIMA/W
14	8	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
14	8	VZI	AAI3S	633473	ἀνέβη	ἀνεβη	ανεβη	ἀναβαίνω	a)ne/bh	a)nebh	anebh	a)nabai/nw	a)nabai/nw				A)NE/BH	BAI/NW           A)NA
14	8	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
14	8	V1	PAPNSM	4793793	κόπτων	κοπτων	κοπτων	κόπτω	ko/ptwn	koptwn	koptwn	ko/ptw	ko/ptw				KO/PTWN	KO/PTW
14	8	RP	AP	13	ἡμᾶς	ἡμας	ημας	ἡμᾶς	h(ma~j	h(maj	hmaj	h(ma~j	h(ma=j			.	H(MA=S	E)GW/
14	9	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
14	9	N1M	NSM	9346	ᾅδης	ἁδης	αδης	ᾅδης	a/(|dhj	a(dhj	adhj	a/(|dhj	a(/|dhj				A(/|DHS	A(/|DHS
14	9	D		9	κάτωθεν	κατωθεν	κατωθεν	κάτωθεν	ka/twqen	katwqen	katwqen	ka/twqen	ka/twqen				KA/TWQEN	KA/TWQEN
14	9	VCI	API3S	641665	ἐπικράνθη	ἐπικρανθη	επικρανθη	πικραίνω	e)pikra/nqh	e)pikranqh	epikranqh	pikrai/nw	pikrai/nw				E)PIKRA/NQH	PIKRAI/NW
14	9	VA	AAPNSM	4795329	συναντήσας	συναντησας	συναντησας	συναντάω	sunanth/saj	sunanthsaj	sunanthsaj	sunanta/w	sunanta/w				SUNANTH/SAS	A)NTA/W          SUN
14	9	RP	DS	13	σοι	σοι	σοι	σοί	soi	soi	soi	soi/	soi/			,	SOI	SU/
14	9	VCI	API3P	903809	συνηγέρθησάν	συνηγερθησαν	συνηγερθησαν	συνεγείρω	sunhge/rqhsa/n	sunhgerqhsan	sunhgerqhsan	sunegei/rw	sunegei/rw				SUNHGE/RQHSA/N	E)GEI/RW         SUN
14	9	RP	DS	13	σοι	σοι	σοι	σοί	soi	soi	soi	soi/	soi/				SOI	SU/
14	9	A3	NPM	9859	πάντες	παντες	παντες	πᾶς	pa/ntej	pantej	pantej	pa~j	pa=j				PA/NTES	PA=S
14	9	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
14	9	N3	NPM	9858	γίγαντες	γιγαντες	γιγαντες	γίγας	gi/gantej	gigantej	gigantej	gi/gaj	gi/gaj				GI/GANTES	GI/GAS
14	9	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
14	9	VA	AAPNPM	5057473	ἄρξαντες	ἀρξαντες	αρξαντες	ἄρχω	a/)rcantej	a)rcantej	arcantej	a/)rxw	a)/rxw				A)/RCANTES	A)/RXW
14	9	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
14	9	N1	GSF	13634	γῆς	γης	γης	γῆ	gh~j	ghj	ghj	gh~	gh=				GH=S	GH=
14	9	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
14	9	VA	AAPNPM	5057473	ἐγείραντες	ἐγειραντες	εγειραντες	ἐγείρω	e)gei/rantej	e)geirantej	egeirantej	e)gei/rw	e)gei/rw				E)GEI/RANTES	E)GEI/RW
14	9	P		8	ἐκ	ἐκ	εκ	ἐκ	e)k	e)k	ek	e)k	e)k				E)K	E)K
14	9	RA	GPM	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(	o(				TW=N	O(
14	9	N2	GPM	10050	θρόνων	θρονων	θρονων	θρόνος	qro/nwn	qronwn	qronwn	qro/noj	qro/noj				QRO/NWN	QRO/NOS
14	9	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)tw~n	au)twn	autwn	au)to/j	au)to/j				AU)TW=N	AU)TO/S
14	9	A3	APM	9987	πάντας	παντας	παντας	πᾶς	pa/ntaj	pantaj	pantaj	pa~j	pa=j				PA/NTAS	PA=S
14	9	N3V	APM	9986	βασιλεῖς	βασιλεις	βασιλεις	βασιλεύς	basilei~j	basileij	basileij	basileu/j	basileu/j				BASILEI=S	BASILEU/S
14	9	N3E	GPN	18242	ἐθνῶν	ἐθνων	εθνων	ἔθνος	e)qnw~n	e)qnwn	eqnwn	e/)qnoj	e)/qnoj			.	E)QNW=N	E)/QNOS
14	10	A3	NPM	9859	πάντες	παντες	παντες	πᾶς	pa/ntej	pantej	pantej	pa~j	pa=j				PA/NTES	PA=S
14	10	VC	FPI3P	903297	ἀποκριθήσονται	ἀποκριθησονται	αποκριθησονται	ἀποκρίνομαι	a)pokriqh/sontai	a)pokriqhsontai	apokriqhsontai	a)pokri/nomai	a)pokri/nomai				A)POKRIQH/SONTAI	KRI/NW           A)PO
14	10	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	10	VF2	FAI3P	895105	ἐροῦσίν	ἐρουσιν	ερουσιν	ἐρέω	e)rou~si/n	e)rousin	erousin	e)re/w	e)re/w				E)ROU=SI/N	EI)=PON
14	10	RP	DS	13	σοι	σοι	σοι	σοί	soi	soi	soi	soi/	soi/				SOI	SU/
14	10	C		4	Καὶ	και	και	καί	Kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	10	RP	NS	13	σὺ	συ	συ	σύ	su\	su	su	su/	su/				SU\	SU/
14	10	VZI	AAI2S	633473	ἑάλως	ἑαλως	εαλως	ἁλίσκω	e(a/lwj	e(alwj	ealwj	a(li/skw	a(li/skw				E(A/LWS	A(LI/SKW
14	10	D		9	ὥσπερ	ὡσπερ	ωσπερ	ὥσπερ	w/(sper	w(sper	wsper	w/(sper	w(/sper				W(/SPER	W(/SPER
14	10	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
14	10	RP	NP	13	ἡμεῖς	ἡμεις	ημεις	ἡμεῖς	h(mei~j	h(meij	hmeij	h(mei~j	h(mei=j			,	H(MEI=S	E)GW/
14	10	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
14	10	RP	DP	13	ἡμῖν	ἡμιν	ημιν	ἡμῖν	h(mi~n	h(min	hmin	h(mi~n	h(mi=n				H(MI=N	E)GW/
